Hostname,Interface,Ip_address,Subnet,Status
R1,FastEthernet0/0,20.0.0.2,255.0.0.0,up,
R1,FastEthernet0/1,unassigned,unassigned,administratively down,
R1,FastEthernet1/0,unassigned,unassigned,administratively down,
R1,FastEthernet1/1,30.0.0.100,255.0.0.0,up,
R2,FastEthernet0/0,20.0.0.3,255.0.0.0,up,
R2,FastEthernet0/1,unassigned,unassigned,administratively down,
R2,FastEthernet1/0,unassigned,unassigned,administratively down,
R2,FastEthernet1/1,unassigned,unassigned,administratively down,
R3,FastEthernet0/0,20.0.0.4,255.0.0.0,up,
R3,FastEthernet0/1,unassigned,unassigned,administratively down,
R3,FastEthernet1/0,unassigned,unassigned,administratively down,
R3,FastEthernet1/1,unassigned,unassigned,administratively down,
